## Statistics for input size of 10

2.6352314
         1959 function calls (1903 primitive calls) in 0.027 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 :0(__build_class__)
       32    0.001    0.000    0.001    0.000 :0(__exit__)
      7/1    0.000    0.000    0.017    0.017 :0(__import__)
        1    0.000    0.000    0.000    0.000 :0(__new__)
        6    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
       43    0.000    0.000    0.000    0.000 :0(acquire_lock)
       16    0.000    0.000    0.000    0.000 :0(allocate_lock)
        1    0.000    0.000    0.000    0.000 :0(create_builtin)
        6    0.000    0.000    0.000    0.000 :0(endswith)
      7/1    0.000    0.000    0.018    0.018 :0(exec)
        1    0.000    0.000    0.000    0.000 :0(exec_builtin)
        8    0.000    0.000    0.000    0.000 :0(extend)
        5    0.000    0.000    0.000    0.000 :0(format)
       18    0.000    0.000    0.000    0.000 :0(from_bytes)
       18    0.000    0.000    0.000    0.000 :0(fspath)
       17    0.000    0.000    0.000    0.000 :0(get)
       26    0.000    0.000    0.000    0.000 :0(get_ident)
       46    0.000    0.000    0.000    0.000 :0(getattr)
        1    0.000    0.000    0.000    0.000 :0(getcwd)
       42    0.000    0.000    0.000    0.000 :0(hasattr)
        1    0.000    0.000    0.000    0.000 :0(input)
        2    0.000    0.000    0.000    0.000 :0(is_builtin)
        7    0.000    0.000    0.000    0.000 :0(is_frozen)
       40    0.000    0.000    0.000    0.000 :0(is_integer)
       79    0.000    0.000    0.000    0.000 :0(isinstance)
        1    0.000    0.000    0.000    0.000 :0(iter)
      101    0.000    0.000    0.000    0.000 :0(join)
       26    0.000    0.000    0.000    0.000 :0(len)
        2    0.001    0.000    0.001    0.000 :0(listdir)
        6    0.000    0.000    0.000    0.000 :0(loads)
       12    0.000    0.000    0.000    0.000 :0(max)
        6    0.003    0.000    0.003    0.000 :0(open_code)
        8    0.000    0.000    0.000    0.000 :0(pop)
       13    0.000    0.000    0.000    0.000 :0(pow)
        1    0.000    0.000    0.000    0.000 :0(print)
        6    0.001    0.000    0.001    0.000 :0(read)
       43    0.000    0.000    0.000    0.000 :0(release_lock)
